rank,IC_mean,ICIR,Sharpe,MDD,Turnover,factor,score
1,0.0169,0.142,1.0862,-0.1826,0.7077,rank(vwap / close - 1) * rank(volume / adv20),0.7915
2,0.018,0.1111,1.3745,-0.1408,0.6849,-1 * zscore(returns) * rank(volume / adv20),0.7753
3,0.0179,0.1031,1.3149,-0.1682,0.7145,"-1 * rank(power(returns, 3))",0.7654
4,0.0154,0.0962,1.4001,-0.1833,0.7119,rank(open / close),0.7597
5,0.0168,0.1053,1.0751,-0.1915,0.7295,"-1 * rank(ts_delta(close, 1) / ts_std(close, 10))",0.7452
6,0.0148,0.1006,1.2029,-0.1607,0.7889,-1 * rank((close - open) / (high - low + 0.0001)),0.7304
7,0.0148,0.0898,1.1598,-0.1745,0.5979,-1 * rank((high - low) / close) * sign(returns),0.7289
8,0.0145,0.0882,1.2655,-0.1203,0.5431,"-rank((close - ts_min(close, 10)) / (ts_max(close, 10) - ts_min(close, 10)))",0.7228
9,0.0145,0.0872,1.1678,-0.12,0.4293,"-1 * rank(ts_delta(close, 10) / ts_std(close, 20))",0.7187
10,0.0133,0.0824,1.1734,-0.1343,0.4347,"rank(ts_std(returns, 10) * (volume / adv20))",0.7123
11,0.0083,0.0946,1.2022,-0.0822,0.2198,"rank(ts_corr(abs(returns), volume / adv20, 15))",0.7064
12,0.016,0.0974,0.9577,-0.1495,0.7482,"-1 * rank((close - ts_mean(close, 5)) / ts_std(close, 5))",0.7054
13,0.0156,0.086,0.8604,-0.1354,0.3407,"-1 * sign(close - ts_mean(close, 10)) * rank(abs(close - ts_mean(close, 10)) / close)",0.7008
14,0.0156,0.086,0.8604,-0.1354,0.3407,"-1 * zscore(close / ts_mean(close, 10) - 1)",0.7008
15,0.0054,0.0489,1.5503,-0.132,0.0564,"rank(ts_mean((high - close) / (high - low + 0.0001) * volume, 10))",0.6983
16,0.0153,0.0848,0.8144,-0.1349,0.3346,"rank((ts_mean(vwap, 10) - close) / close)",0.6935
17,0.0083,0.0958,1.1236,-0.0757,0.2954,"rank(ts_corr(abs(returns), volume, 10))",0.693
18,0.0134,0.08,0.9434,-0.147,0.4667,"-1 * rank((close - ts_min(close, 20)) / (ts_max(close, 20) - ts_min(close, 20)))",0.688
19,0.0139,0.0816,0.837,-0.1475,0.3861,"-1 * rank((close - ts_mean(close, 20)) / ts_std(close, 20))",0.6865
20,0.0139,0.0816,0.837,-0.1475,0.3861,"rank((ts_mean(close, 20) - close) / ts_std(close, 20))",0.6865
21,0.008,0.0928,0.8611,-0.1202,0.2103,"rank(ts_corr(power(returns, 2), volume, 15))",0.6804
22,0.014,0.078,0.7343,-0.1313,0.3339,"rank(ts_mean(low, 10) / close - 1)",0.6701
23,0.0125,0.0809,0.952,-0.1376,0.7199,"-1 * rank(ts_delta(close / vwap, 5))",0.6672
24,0.0138,0.0748,0.6942,-0.1281,0.2404,"-1 * zscore((high + low + close) / 3 / ts_mean((high + low + close) / 3, 15) - 1)",0.666
25,0.0116,0.0718,0.8565,-0.1152,0.2571,"-1 * rank(ts_delta(close, 5) + ts_delta(close, 10))",0.6644
26,0.0087,0.0422,0.7862,-0.2658,0.2038,"zscore(ts_mean(abs(returns), 10))",0.6584
27,0.0084,0.0455,0.8836,-0.2213,0.197,"zscore(ts_std(open - close, 10) / ts_mean(close, 10))",0.6577
28,0.0093,0.0537,1.0879,-0.2084,0.6923,rank(log(high / low)),0.6573
29,0.0129,0.07,0.6967,-0.12,0.2055,"rank(ts_mean(vwap, 20) / vwap - 1)",0.656
30,0.0093,0.0518,0.7994,-0.2052,0.2003,"rank(ts_std(returns, 10) * ts_mean(volume, 10) / adv20)",0.6555
31,0.0114,0.0734,0.8321,-0.1716,0.7041,-1 * rank(close / vwap - 1),0.6525
32,0.0097,0.0737,0.7726,-0.1284,0.3566,"-1 * rank(ts_max(volume, 10) / adv20) * rank(close / ts_max(close, 10))",0.6479
33,0.0128,0.0772,0.7163,-0.1311,0.5599,"rank((ts_max(high, 10) - close) / (ts_max(high, 10) - ts_min(low, 10) + 0.001))",0.6477
34,0.0124,0.0683,0.7558,-0.1452,0.4958,"-1 * rank(ts_delta(close, 3) / close)",0.6474
35,0.0073,0.0327,0.8123,-0.2606,0.1288,"rank(ts_mean(log(high / low), 10))",0.6462
36,0.0124,0.0682,0.7358,-0.1403,0.4953,"-1 * rank(ts_mean(returns, 3))",0.6437
37,0.009,0.0729,0.8277,-0.1146,0.4724,"-1 * rank(ts_delta(close, 10)) * (1 - rank(ts_delta(volume, 10)))",0.6378
38,0.0043,0.0616,1.0625,-0.0963,0.2615,"rank(ts_std(returns * volume, 10) / (ts_std(returns, 10) * ts_std(volume, 10) + 0.0001))",0.6353
39,0.0056,0.0264,0.7525,-0.3057,0.1924,"rank(ts_mean(abs(returns) / (volume / adv20 + 0.0001), 10))",0.6351
40,0.0071,0.0376,0.8354,-0.214,0.206,"rank(ts_mean(abs(close - vwap), 10) / ts_mean(close, 10))",0.6343
41,0.0111,0.0646,0.6307,-0.1552,0.3914,"rank(ts_mean(returns, 20) - ts_mean(returns, 5))",0.6341
42,0.0103,0.0895,0.2999,-0.149,0.2738,"rank(ts_corr(returns, volume, 10)) * -1",0.6335
43,0.0059,0.0308,0.5879,-0.2976,0.1016,"zscore(ts_max(returns, 20) - ts_min(returns, 20))",0.6282
44,0.0056,0.0634,0.7777,-0.1198,0.1759,"rank(ts_corr(abs(returns), volume / adv20, 20))",0.6267
45,0.0117,0.0699,0.5164,-0.1476,0.454,"rank((ts_max(high, 20) - close) / (ts_max(high, 20) - ts_min(low, 20)))",0.6252
46,0.0052,0.0243,0.7543,-0.2573,0.0664,"rank(ts_min(ts_std(returns, 10), 20))",0.6237
47,0.0089,0.0555,0.735,-0.1138,0.194,"-1 * rank(ts_delta(ts_mean(close, 5), 5))",0.6234
48,0.0063,0.0555,0.8255,-0.1201,0.2072,"rank(ts_delta(ts_std(returns, 20), 10))",0.6227
49,0.0044,0.0218,0.9221,-0.2493,0.2111,"rank(ts_mean((high - low) / vwap, 5) / ts_mean(volume / adv20, 5))",0.6226
50,0.009,0.0595,0.7917,-0.1075,0.3647,"-1 * rank(ts_max(close, 10) / close - 1) * sign(ts_delta(close, 10))",0.6219
51,0.008,0.0412,0.6192,-0.1801,0.163,"-1 * rank(ts_delta(close, 20) / close) * rank(1 / ts_std(returns, 20))",0.6126
52,0.0042,0.0202,0.5724,-0.3011,0.1069,"rank(ts_std(vwap / close, 20))",0.6068
53,0.008,0.0414,0.6964,-0.1418,0.193,"rank(ts_mean(close, 50) / close - 1) * rank(ts_std(returns, 10))",0.6068
54,0.0042,0.0201,0.5836,-0.2971,0.1073,"rank(ts_std(close / vwap, 20))",0.6065
55,0.0094,0.0568,0.3412,-0.1843,0.3983,"-1 * rank(ts_delta(vwap, 5) / ts_std(vwap, 20))",0.596
56,0.0091,0.0503,0.4753,-0.1596,0.3492,"rank(ts_mean(open, 10) / open - 1)",0.5957
57,0.0034,0.0431,0.9028,-0.1002,0.3035,"rank(ts_corr((high - low) / close, volume / adv20, 10))",0.5903
58,0.0072,0.0572,0.588,-0.1491,0.7094,-1 * rank(close - open) * rank(abs(returns)),0.5817
59,0.0096,0.0745,0.1586,-0.1552,0.5854,"rank(ts_delta(volume, 5) / adv20) * sign(-ts_delta(close, 5))",0.5794
60,0.0049,0.0449,0.1706,-0.27,0.333,"zscore(ts_mean(high - low, 5) / ts_mean(high - low, 60))",0.5755
61,0.0071,0.061,0.3585,-0.1867,0.7251,"rank(ts_delta(log(high / low), 5))",0.5733
62,0.004,0.0217,0.4628,-0.259,0.2692,"rank(ts_min(low, 20) / close - 1) * -1 + rank(1 - close / ts_max(high, 20))",0.573
63,0.0026,0.0304,0.6098,-0.155,0.1761,"rank(ts_corr(high - low, volume, 20))",0.5662
64,0.0075,0.0402,0.2382,-0.1666,0.1978,"rank(ts_mean(returns, 20)) * -1",0.5636
65,0.0039,0.0176,0.1411,-0.3183,0.1122,"zscore(ts_mean(high / low, 20)) * rank(-ts_std(returns, 20))",0.5631
66,0.0055,0.0281,0.5313,-0.1445,0.2492,"rank(1 - close / ts_max(close, 60))",0.5597
67,0.005,0.0588,0.3163,-0.122,0.3792,"rank(ts_delta(close, 5)) * sign(ts_delta(volume, 5))",0.5588
68,0.0044,0.0499,0.5273,-0.0964,0.448,"rank(ts_corr(close, volume, 20)) - rank(ts_corr(close, volume, 5))",0.5542
69,0.0009,0.006,0.843,-0.1426,0.0863,"rank(ts_max(high, 20) - ts_min(low, 20)) / ts_mean(close, 20)",0.554
70,0.0041,0.0406,0.1848,-0.2157,0.3591,"rank(ts_mean(high - low, 5) / ts_mean(high - low, 20))",0.5493
71,0.0019,0.0154,0.6486,-0.1532,0.1788,"rank(ts_std(returns, 10) - ts_std(returns, 60))",0.5476
72,0.0066,0.0409,0.2124,-0.1462,0.4226,"-1 * rank(ts_delta(high, 5) / ts_std(high, 20))",0.5373
73,0.0024,0.026,0.4556,-0.142,0.2572,"rank(ts_std(high - low, 10) / ts_mean(high - low, 10))",0.5348
74,0.0061,0.0539,0.1405,-0.1418,0.5489,"rank(adv20 / volume) * sign(ts_mean(close, 10) - close)",0.5347
75,0.0058,0.0508,0.2532,-0.1145,0.5149,"rank(ts_mean((close - vwap) / vwap, 10)) * rank(volume / adv20)",0.5347
76,0.0023,0.0208,0.522,-0.1314,0.214,"rank(ts_std(returns, 10)) - rank(ts_std(returns, 60))",0.534
77,0.0029,0.0298,0.0833,-0.2322,0.3159,"zscore(ts_delta(ts_mean(high - low, 5), 5))",0.5282
78,0.0031,0.0456,0.2793,-0.0952,0.3232,"-1 * rank(ts_corr(rank(close), rank(volume), 10))",0.5254
